Average waiting time: 5606.102244389028
pNumber,burstTime,arrivalTime,waitingTime,endTime
38,29,284,6144,6457,
243,19,284,6173,6476,
313,25,284,6192,6501,
5,28,286,6215,6529,
67,32,289,6240,6561,
141,31,289,6272,6592,
253,32,289,6303,6624,
82,29,290,6334,6653,
179,31,292,6361,6684,
173,41,293,6391,6725,
254,28,293,6432,6753,
187,34,296,6457,6787,
88,32,297,6490,6819,
3,31,298,6521,6850,
165,32,298,6552,6882,
394,26,299,6583,6908,
172,28,300,6608,6936,
389,27,300,6636,6963,
212,34,301,6662,6997,
14,29,303,6694,7026,
21,30,304,6722,7056,
191,29,304,6752,7085,
73,34,305,6780,7119,
265,29,306,6813,7148,
359,30,306,6842,7178,
148,29,307,6871,7207,
99,33,309,6898,7240,
203,36,310,6930,7276,
149,31,311,6965,7307,
240,25,311,6996,7332,
19,30,313,7019,7362,
382,28,313,7049,7390,
57,25,316,7074,7415,
62,29,316,7099,7444,
198,33,316,7128,7477,
255,23,317,7160,7500,
41,34,319,7181,7534,
200,31,319,7215,7565,
140,33,323,7242,7598,
201,31,323,7275,7629,
325,28,323,7306,7657,
374,34,323,7334,7691,
242,33,325,7366,7724,
189,31,328,7396,7755,
370,28,330,7425,7783,
159,27,333,7450,7810,
344,35,333,7477,7845,
381,31,333,7512,7876,
279,24,334,7542,7900,
210,38,335,7565,7938,
318,20,335,7603,7958,
341,32,335,7623,7990,
221,29,336,7654,8019,
37,28,337,7682,8047,
92,26,341,7706,8073,
195,35,342,7731,8108,
386,34,345,7763,8142,
387,32,345,7797,8174,
107,25,346,7828,8199,
132,33,346,7853,8232,
7,24,347,7885,8256,
305,32,347,7909,8288,
348,27,348,7940,8315,
218,41,350,7965,8356,
120,35,352,8004,8391,
128,31,353,8038,8422,
379,30,354,8068,8452,
52,24,355,8097,8476,
192,32,356,8120,8508,
205,31,358,8150,8539,
223,29,358,8181,8568,
292,37,358,8210,8605,
131,35,359,8246,8640,
175,28,359,8281,8668,
285,36,364,8304,8704,
297,26,364,8340,8730,
262,29,365,8365,8759,
115,29,368,8391,8788,
268,33,369,8419,8821,
395,20,373,8448,8841,
184,26,374,8467,8867,
